Time(s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.00,2.98,6.05,-6.7,0.001090830782496456,-0.001090830782496456,-0.001090830782496456
1.01,2.97,6.05,-6.7,-0.003272492347489368,-0.001090830782496456,0.006544984694978736
2.01,3.06,6.21,-6.890000000000001,-0.003272492347489368,0.003272492347489368,-0.003272492347489368
3.02,3.06,6.25,-6.890000000000001,-0.011999138607461015,0.001090830782496456,-0.017453292519943295
4.03,3.09,6.22,-6.890000000000001,0.001090830782496456,-0.001090830782496456,0.00545415391248228
